,id,model_name,iteration,temperature,input_length,problem_statement,abstract_reformulation,cumulative_time_in_seconds
6215,sP44vzp,gpt_neo_125m,11,0.6,20,identify fake smiles and laughter,prevent the appearance of a fake smile by placing a mask,3185
6327,sP44vzp,gpt_neo_125m,12,0.6,20,identify fake smiles and laughter,Protect vulnerable object from radiation,3205
6440,sP44vzp,gpt_neo_125m,13,0.6,20,identify fake smiles and laughter,Prevent the appearance of fake smiles and laughter,3226
6554,sP44vzp,gpt_neo_125m,14,0.6,20,identify fake smiles and laughter,Remove unnecessary objects from objects,3247
6669,sP44vzp,gpt_neo_125m,15,0.6,20,identify fake smiles and laughter,Remove objects from their environment,3268
6785,sP44vzp,gpt_neo_125m,16,0.6,20,identify fake smiles and laughter,Identify fake smiles and laughter,3292
6902,sP44vzp,gpt_neo_125m,17,0.6,20,identify fake smiles and laughter,Prevent fake smiles,3320
7020,sP44vzp,gpt_neo_125m,18,0.6,20,identify fake smiles and laughter,Prevent facial expressions by the user,3349
7139,sP44vzp,gpt_neo_125m,19,0.6,20,identify fake smiles and laughter,Protect vulnerable object from radiation,3372
7259,sP44vzp,gpt_neo_125m,20,0.6,20,identify fake smiles and laughter,Identify fake smiles and laughter,3396
7380,sP44vzp,gpt_neo_125m,1,0.7,20,identify fake smiles and laughter,Protect object from the penetration of foreign substances,3416
7502,sP44vzp,gpt_neo_125m,2,0.7,20,identify fake smiles and laughter,Protect vulnerable object from radiation,3435
7625,sP44vzp,gpt_neo_125m,3,0.7,20,identify fake smiles and laughter,Identify fake smiles and laughing,3453
7749,sP44vzp,gpt_neo_125m,4,0.7,20,identify fake smiles and laughter,Create a small-time-vacuum environment for the human eye,3472
7874,sP44vzp,gpt_neo_125m,5,0.7,20,identify fake smiles and laughter,Defy imitation of a person's true smiles,3490
8000,sP44vzp,gpt_neo_125m,6,0.7,20,identify fake smiles and laughter,Protect vulnerable object from radiation,3509
8127,sP44vzp,gpt_neo_125m,7,0.7,20,identify fake smiles and laughter,Remove objects from their original pose,3528
8255,sP44vzp,gpt_neo_125m,8,0.7,20,identify fake smiles and laughter,Remove an artificial face and make a face with a smile,3546
8384,sP44vzp,gpt_neo_125m,9,0.7,20,identify fake smiles and laughter,hide a face from the sun,3564
8514,sP44vzp,gpt_neo_125m,10,0.7,20,identify fake smiles and laughter,Identify fake smiles and laughter,3583
8645,sP44vzp,gpt_neo_125m,11,0.7,20,identify fake smiles and laughter,Protect vulnerable object from radiation,3602
8777,sP44vzp,gpt_neo_125m,12,0.7,20,identify fake smiles and laughter,Remove objects from an object without causing an unwanted noise,3621
8910,sP44vzp,gpt_neo_125m,13,0.7,20,identify fake smiles and laughter,Make a face when you are unsure,3639
9044,sP44vzp,gpt_neo_125m,14,0.7,20,identify fake smiles and laughter,Reduce the amount of time between the appearance of a smile and laughter,3658
9179,sP44vzp,gpt_neo_125m,15,0.7,20,identify fake smiles and laughter,Protect vulnerable object from airborne or stray radiation,3677
9315,sP44vzp,gpt_neo_125m,16,0.7,20,identify fake smiles and laughter,"Provide strong, rigid structure out of soft materials",3695
9452,sP44vzp,gpt_neo_125m,17,0.7,20,identify fake smiles and laughter,Get fake smile and laugh in a video game,3716
9590,sP44vzp,gpt_neo_125m,18,0.7,20,identify fake smiles and laughter,prevent children from getting excited,3738
9729,sP44vzp,gpt_neo_125m,19,0.7,20,identify fake smiles and laughter,Remove food from objects,3759
9869,sP44vzp,gpt_neo_125m,20,0.7,20,identify fake smiles and laughter,Prevent smoking from getting into contact with any foreign objects,3786
10010,sP44vzp,gpt_neo_125m,1,0.8,20,identify fake smiles and laughter,Protect object from air pollution,3812
10152,sP44vzp,gpt_neo_125m,2,0.8,20,identify fake smiles and laughter,stop making fake smiles,3833
10295,sP44vzp,gpt_neo_125m,3,0.8,20,identify fake smiles and laughter,create a hole in an object without causing an unwanted noise,3859
10439,sP44vzp,gpt_neo_125m,4,0.8,20,identify fake smiles and laughter,Remove hair from children,3884
10584,sP44vzp,gpt_neo_125m,5,0.8,20,identify fake smiles and laughter,Prevent object from becoming excited by the noise of the world,3907
10730,sP44vzp,gpt_neo_125m,6,0.8,20,identify fake smiles and laughter,"create a new object, eliminate a lot of fake smiles",3934
10877,sP44vzp,gpt_neo_125m,7,0.8,20,identify fake smiles and laughter,Get a real laugh by looking around the room,3957
11025,sP44vzp,gpt_neo_125m,8,0.8,20,identify fake smiles and laughter,Stop object from getting into contact with unwanted substances,3979
11174,sP44vzp,gpt_neo_125m,9,0.8,20,identify fake smiles and laughter,Prevent object from appearing in the scene,3999
11324,sP44vzp,gpt_neo_125m,10,0.8,20,identify fake smiles and laughter,Create a barrier to avoid unwanted objects,4018
11475,sP44vzp,gpt_neo_125m,11,0.8,20,identify fake smiles and laughter,Start a game of face recognition,4037
11627,sP44vzp,gpt_neo_125m,12,0.8,20,identify fake smiles and laughter,Prevent object from getting into contact with unwanted substances,4056
11780,sP44vzp,gpt_neo_125m,13,0.8,20,identify fake smiles and laughter,Prevent facial expressions from being blurred,4078
11934,sP44vzp,gpt_neo_125m,14,0.8,20,identify fake smiles and laughter,protect object from the penetration of foreign objects,4097
12089,sP44vzp,gpt_neo_125m,15,0.8,20,identify fake smiles and laughter,Remove facial recognition,4116
12245,sP44vzp,gpt_neo_125m,16,0.8,20,identify fake smiles and laughter,Make a fake face and laugh with the eyes from a camera,4135
12402,sP44vzp,gpt_neo_125m,17,0.8,20,identify fake smiles and laughter,identify real smile and laughter,4158
12560,sP44vzp,gpt_neo_125m,18,0.8,20,identify fake smiles and laughter,identify fake smiles and laughter,4176
12719,sP44vzp,gpt_neo_125m,19,0.8,20,identify fake smiles and laughter,Protect vulnerable object from radiation,4198
12879,sP44vzp,gpt_neo_125m,20,0.8,20,identify fake smiles and laughter,prevent child from getting into a room with a fake smile,4222
13040,sP44vzp,gpt_neo_125m,1,0.9,20,identify fake smiles and laughter,Increase the quality of a child's smile,4245
13202,sP44vzp,gpt_neo_125m,2,0.9,20,identify fake smiles and laughter,Avoid any sexual activity by pretending it's not your face,4271
13365,sP44vzp,gpt_neo_125m,3,0.9,20,identify fake smiles and laughter,Prevent the user from getting excited,4294
13529,sP44vzp,gpt_neo_125m,4,0.9,20,identify fake smiles and laughter,Stop old people from making fake faces in the street,4316
13694,sP44vzp,gpt_neo_125m,5,0.9,20,identify fake smiles and laughter,Make fun of facial expressions,4338
13860,sP44vzp,gpt_neo_125m,6,0.9,20,identify fake smiles and laughter,Identify fake smiles and laughter in virtual reality,4361
14027,sP44vzp,gpt_neo_125m,7,0.9,20,identify fake smiles and laughter,Improve appearance of real face,4383
14195,sP44vzp,gpt_neo_125m,8,0.9,20,identify fake smiles and laughter,Make a facial expression of the eyebrows,4403
14364,sP44vzp,gpt_neo_125m,9,0.9,20,identify fake smiles and laughter,Determine if the smiles are fake,4425
14534,sP44vzp,gpt_neo_125m,10,0.9,20,identify fake smiles and laughter,Remove fake smiles from the face,4447
14705,sP44vzp,gpt_neo_125m,11,0.9,20,identify fake smiles and laughter,protect object from radiation,4469
14877,sP44vzp,gpt_neo_125m,12,0.9,20,identify fake smiles and laughter,Eliminate fake smiles and laughter,4491
15050,sP44vzp,gpt_neo_125m,13,0.9,20,identify fake smiles and laughter,Create a face mask to prevent foreign objects from getting into contact with foreign objects,4514
15224,sP44vzp,gpt_neo_125m,14,0.9,20,identify fake smiles and laughter,Improve the feel of a complicated motion or force,4536
15399,sP44vzp,gpt_neo_125m,15,0.9,20,identify fake smiles and laughter,Prevent children from laughing too much,4559
15575,sP44vzp,gpt_neo_125m,16,0.9,20,identify fake smiles and laughter,"avoid unnecessary, awkward and repetitive actions",4581
15752,sP44vzp,gpt_neo_125m,17,0.9,20,identify fake smiles and laughter,Protect objects from external sounds,4603
15930,sP44vzp,gpt_neo_125m,18,0.9,20,identify fake smiles and laughter,Protect objects of different volumes,4625
16109,sP44vzp,gpt_neo_125m,19,0.9,20,identify fake smiles and laughter,Prevent false smiles,4647
16289,sP44vzp,gpt_neo_125m,20,0.9,20,identify fake smiles and laughter,Prevent face from being a big fat joke,4670
